notif_id,plate,owner,phone,type,message,status,time
0,DL59QR2695,Suresh Das,+910814670689,SMS,DL59QR2695 overspeeding (53 km/h) at GH-4 Gate,Delivered,2026-03-24 10:17:58
1,DL86SZ9423,Meena Joshi,+919354767148,EMAIL,DL86SZ9423 overspeeding (58 km/h) at Hospital Road,Delivered,2026-03-23 21:39:58
2,AS95FF9779,Arjun Sharma,+917988247351,SMS,AS95FF9779 overspeeding (62 km/h) at Residential Zone,Delivered,2026-03-23 23:44:58
3,DL39UK9366,Pooja Bose,+918116523937,EMAIL,DL39UK9366 overspeeding (43 km/h) at GH-4 Gate,Failed,2026-03-24 06:15:58
4,AS20XH6881,Ananya Gupta,+911468643669,SMS,AS20XH6881 overspeeding (30 km/h) at Academic Block A,Failed,2026-03-24 05:59:58
5,AS40IU3799,Rohan Nair,+910527804140,SYSTEM,AS40IU3799 overspeeding (62 km/h) at Hospital Road,Delivered,2026-03-24 01:18:58
6,KA14YZ5213,Rajesh Bose,+917500846271,SYSTEM,KA14YZ5213 overspeeding (29 km/h) at Residential Zone,Delivered,2026-03-24 09:05:58
7,ML46MM6488,Rajesh Joshi,+919322317460,SYSTEM,ML46MM6488 overspeeding (30 km/h) at Hospital Road,Failed,2026-03-23 21:28:58
8,DL83WU9535,Kavya Nair,+911915390504,SYSTEM,DL83WU9535 overspeeding (69 km/h) at GH-4 Gate,Failed,2026-03-23 18:16:58
9,WB35LG7640,Neha Verma,+911544676659,EMAIL,WB35LG7640 overspeeding (64 km/h) at Academic Block A,Delivered,2026-03-24 06:29:58
10,WB57OF5240,Arjun Iyer,+911483946013,EMAIL,WB57OF5240 overspeeding (38 km/h) at Library Junction,Failed,2026-03-24 08:13:58
11,KA26GV1325,Priya Mehta,+915506330633,EMAIL,KA26GV1325 overspeeding (41 km/h) at Academic Block B,Failed,2026-03-23 23:53:58
12,KA55JD5796,Riya Gupta,+916827671617,SMS,KA55JD5796 overspeeding (66 km/h) at Hospital Road,Delivered,2026-03-24 03:19:58
13,KA16IA3366,Rohan Sharma,+915286067475,EMAIL,KA16IA3366 overspeeding (47 km/h) at Residential Zone,Failed,2026-03-23 16:02:58
14,WB83EK6884,Pooja Iyer,+913168632252,SYSTEM,WB83EK6884 overspeeding (43 km/h) at Main Gate,Failed,2026-03-24 11:25:58
15,DL98TW1231,Arjun Das,+911014027580,EMAIL,DL98TW1231 overspeeding (53 km/h) at Sports Complex,Failed,2026-03-23 19:53:58
16,AS95FF9779,Arjun Sharma,+917988247351,SMS,AS95FF9779 overspeeding (54 km/h) at Main Gate,Failed,2026-03-24 08:31:58
17,WB83EK6884,Pooja Iyer,+913168632252,SYSTEM,WB83EK6884 overspeeding (59 km/h) at GH-4 Gate,Delivered,2026-03-24 08:40:58
18,ML96SL5034,Ananya Nair,+913496992806,SYSTEM,ML96SL5034 overspeeding (38 km/h) at Library Junction,Delivered,2026-03-24 12:06:58
19,DL63EZ3326,Suresh Nair,+913397774947,SMS,DL63EZ3326 overspeeding (47 km/h) at GH-4 Gate,Delivered,2026-03-24 09:58:58
20,ML28CR1695,Suresh Mehta,+915639757890,SYSTEM,ML28CR1695 overspeeding (47 km/h) at Library Junction,Delivered,2026-03-24 04:07:58
21,DL31BI3386,Kavya Verma,+919431025879,SYSTEM,DL31BI3386 overspeeding (54 km/h) at Hospital Road,Delivered,2026-03-23 18:42:58
22,DL40VN4049,Rajesh Das,+915928684265,EMAIL,DL40VN4049 overspeeding (64 km/h) at Academic Block B,Delivered,2026-03-23 20:54:58
23,KA04TV4558,Vikram Bose,+917707675638,SMS,KA04TV4558 overspeeding (67 km/h) at Library Junction,Delivered,2026-03-24 01:58:58
24,ML88RX4292,Sneha Joshi,+913910963340,EMAIL,ML88RX4292 overspeeding (47 km/h) at Library Junction,Delivered,2026-03-23 22:52:58
25,KA91KA4712,Meena Mehta,+914977347776,SYSTEM,KA91KA4712 overspeeding (63 km/h) at Academic Block A,Delivered,2026-03-23 14:54:58
26,DL49NC5997,Pooja Kumar,+913421486777,EMAIL,DL49NC5997 overspeeding (52 km/h) at Sports Complex,Delivered,2026-03-23 22:05:58
27,AS66CQ3987,Neha Das,+911025854153,SMS,AS66CQ3987 overspeeding (67 km/h) at Library Junction,Delivered,2026-03-24 11:21:58
28,ML28TE1153,Rajesh Gupta,+910236906726,SYSTEM,ML28TE1153 overspeeding (31 km/h) at Academic Block A,Delivered,2026-03-23 13:54:58
29,KA92JX4694,Riya Kumar,+914291031585,SYSTEM,KA92JX4694 overspeeding (60 km/h) at Academic Block B,Delivered,2026-03-23 12:34:58
30,AS39TF1535,Suresh Sharma,+916015436475,SYSTEM,AS39TF1535 overspeeding (56 km/h) at Sports Complex,Failed,2026-03-24 03:53:58
31,AS86JG9373,Suresh Mehta,+912381617150,EMAIL,AS86JG9373 overspeeding (55 km/h) at Main Gate,Failed,2026-03-23 20:37:58
32,DL98KR3808,Rohan Iyer,+917462868793,SMS,DL98KR3808 overspeeding (30 km/h) at Residential Zone,Delivered,2026-03-24 06:49:58
33,KA72NF7276,Kavya Sharma,+914958854666,SYSTEM,KA72NF7276 overspeeding (25 km/h) at Main Gate,Delivered,2026-03-23 19:04:58
34,AS66CQ3987,Neha Das,+911025854153,SMS,AS66CQ3987 overspeeding (51 km/h) at GH-4 Gate,Delivered,2026-03-23 21:52:58
35,DL39UK9366,Pooja Bose,+918116523937,SYSTEM,DL39UK9366 overspeeding (37 km/h) at Library Junction,Delivered,2026-03-23 17:03:58
36,KA85SP8923,Sneha Iyer,+915424963059,EMAIL,KA85SP8923 overspeeding (27 km/h) at Library Junction,Failed,2026-03-24 07:19:58
37,WB35LG7640,Neha Verma,+911544676659,EMAIL,WB35LG7640 overspeeding (39 km/h) at Sports Complex,Failed,2026-03-23 16:47:58
38,DL15VL1668,Arjun Mehta,+918492100012,EMAIL,DL15VL1668 overspeeding (56 km/h) at Academic Block B,Delivered,2026-03-24 02:42:58
39,AS20GA9785,Rahul Iyer,+913620715201,SMS,AS20GA9785 overspeeding (53 km/h) at Library Junction,Failed,2026-03-24 10:18:58
40,DL40VN4049,Rajesh Das,+915928684265,SMS,DL40VN4049 overspeeding (27 km/h) at Main Gate,Failed,2026-03-23 23:56:58
41,ML66DO3392,Neha Kumar,+919221505021,EMAIL,ML66DO3392 overspeeding (38 km/h) at Main Gate,Delivered,2026-03-24 01:57:58
42,ML56VE5235,Rahul Bose,+916488033059,SMS,ML56VE5235 overspeeding (56 km/h) at Main Gate,Failed,2026-03-23 22:17:58
43,WB89CN6765,Riya Mehta,+913561598010,SMS,WB89CN6765 overspeeding (68 km/h) at Academic Block A,Failed,2026-03-23 17:16:58
44,AS40IU3799,Rohan Nair,+910527804140,SMS,AS40IU3799 overspeeding (65 km/h) at Sports Complex,Failed,2026-03-23 22:18:58
