plate,owner,phone,email,type,total_violations,last_seen,currently_in_campus,max_speed,min_speed,avg_speed
ML28CR1695,Suresh Mehta,+915639757890,suresh.mehta@iitg.ac.in,Vendor,15,2026-03-24 10:33:58,True,69,10,41.78
AS38TM4623,Kavya Gupta,+912540649898,kavya.gupta@gmail.com,Visitor,7,2026-03-24 05:40:58,True,65,12,37.83
DL05AZ5766,Rahul Joshi,+913347348918,rahul.joshi@gmail.com,Staff,13,2026-03-24 00:39:58,False,69,10,44.38
ML37VL7728,Sneha Nair,+915564478958,sneha.nair@gmail.com,Faculty,7,2026-03-24 05:44:58,True,65,11,36.92
WB03IY1586,Rohan Das,+919834567754,rohan.das@iitg.ac.in,Faculty,9,2026-03-23 14:59:58,False,68,18,38.82
AS56EJ1700,Pooja Verma,+914789307919,pooja.verma@iitg.ac.in,Visitor,13,2026-03-24 09:31:58,False,66,14,42.5
WB48OH1391,Suresh Sharma,+914985618855,suresh.sharma@gmail.com,Visitor,6,2026-03-23 16:57:58,True,68,11,31.5
WB55CZ1211,Neha Nair,+912736869188,neha.nair@iitg.ac.in,Visitor,13,2026-03-24 03:14:58,True,64,19,47.43
DL72HP6499,Kavya Iyer,+916877846731,kavya.iyer@gmail.com,Vendor,15,2026-03-24 01:31:58,True,70,10,45.0
ML88FN3438,Neha Iyer,+911992948086,neha.iyer@iitg.ac.in,Staff,7,2026-03-24 12:02:58,False,57,17,42.71
DL68JU6845,Meena Iyer,+914327603910,meena.iyer@gmail.com,Visitor,7,2026-03-24 08:21:58,False,68,11,44.0
AS62CG5474,Kavya Bose,+919032494066,kavya.bose@iitg.ac.in,Staff,10,2026-03-23 19:35:58,True,68,17,40.69
AS84QL6148,Rohan Joshi,+913289615662,rohan.joshi@iitg.ac.in,Vendor,11,2026-03-23 15:48:58,True,67,10,45.64
ML96SL5034,Ananya Nair,+913496992806,ananya.nair@gmail.com,Student,12,2026-03-23 20:23:58,True,60,12,37.53
DL01NF5747,Arjun Verma,+911316655257,arjun.verma@iitg.ac.in,Vendor,15,2026-03-23 23:21:58,False,67,10,37.63
DL98TW1231,Arjun Das,+911014027580,arjun.das@gmail.com,Staff,14,2026-03-24 02:13:58,False,65,14,43.6
KA91LX9133,Riya Das,+915415160089,riya.das@gmail.com,Student,6,2026-03-23 15:43:58,True,66,13,41.62
WB89CN6765,Riya Mehta,+913561598010,riya.mehta@gmail.com,Faculty,14,2026-03-23 17:50:58,True,68,24,43.36
